2024-01-29 20:23:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:23:39 - INFO  - 29 https://www.amazon.com/Dove-Hypoallergenic-Paraben-Free-Sulfate-Free-Cruelty-Free/dp/B0BVBYQGTW/
2024-01-29 20:23:45 - INFO  - Ingredients section found...
2024-01-29 20:23:49 - INFO  - Ingredients added to excel file...
2024-01-29 20:23:49 - INFO  - 30 https://www.amazon.com/Amazon-Brand-MotionSphere-Lubrication-Cartridges/dp/B07CZCQ481/
2024-01-29 20:23:55 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:23:55 - INFO  - 31 https://www.amazon.com/Premium-Exfoliating-Mitts-Exfoliation-Microdermabrasion/dp/B07NHZP4FW/
2024-01-29 20:24:03 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:24:03 - INFO  - 32 https://www.amazon.com/Aveeno-Soothing-Sensitive-Moisturizing-Sulfate-Free/dp/B07FD24RTR/
2024-01-29 20:24:10 - INFO  - Ingredients section found...
2024-01-29 20:24:14 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:14 - INFO  - 33 https://www.amazon.com/Philips-Sonicare-replacement-toothbrush-HX9033/dp/B078BF2BGN/
2024-01-29 20:24:21 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:24:21 - INFO  - 34 https://www.amazon.com/Sensodyne-Protect-Sensitive-Whitening-Toothpaste/dp/B07YXDVT9W/
2024-01-29 20:24:28 - INFO  - Ingredients section found...
2024-01-29 20:24:32 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:32 - INFO  - 35 https://www.amazon.com/Secret-Antiperspirant-Deodorant-Invisible-Completely/dp/B00HF3XSO0/
2024-01-29 20:24:40 - INFO  - Ingredients section found...
2024-01-29 20:24:44 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:44 - INFO  - 36 https://www.amazon.com/Maybelline-Express-Falsies-Washable-Blackest/dp/B003I6O5RC/
2024-01-29 20:24:51 - INFO  - Ingredients section found...
2024-01-29 20:24:55 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:55 - INFO  - 37 https://www.amazon.com/Gold-Bond-Friction-Defense-Unscented/dp/B007VC9DKI/
2024-01-29 20:25:02 - INFO  - Ingredients section found...
2024-01-29 20:25:06 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:06 - INFO  - 38 https://www.amazon.com/Mehron-Makeup-Clown-White-Professional/dp/B00429O3EY/
2024-01-29 20:25:13 - INFO  - Ingredients section found...
2024-01-29 20:25:17 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:17 - INFO  - 39 https://www.amazon.com/TheraBreath-Healthy-Periodontist-Formulated-Rinse/dp/B0758F8KDC/
2024-01-29 20:25:22 - INFO  - Ingredients section found...
2024-01-29 20:25:26 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:26 - INFO  - 40 https://www.amazon.com/Gold-Bond-Ultimate-Intensive-Healing/dp/B00A8S6HM4/
2024-01-29 20:25:34 - INFO  - Ingredients section found...
2024-01-29 20:25:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:38 - INFO  - 41 https://www.amazon.com/Beautify-Beauties-Flairosol-Empty-Bottle/dp/B07GRD5WLD/
2024-01-29 20:25:45 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:25:45 - INFO  - 42 https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Lines-1-1oz/dp/B07C5SS6YD/
2024-01-29 20:25:51 - INFO  - Ingredients section found...
2024-01-29 20:25:55 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:55 - INFO  - 43 https://www.amazon.com/Beauty-Moisturizing-Effectively-Bacteria-Nourishes/dp/B086K2KMNR/
2024-01-29 20:26:03 - INFO  - Ingredients section found...
2024-01-29 20:26:06 - INFO  - Ingredients added to excel file...
2024-01-29 20:26:06 - INFO  - 44 https://www.amazon.com/Marc-Anthony-Leave-In-Conditioner-Detangler-Spray/dp/B076FHJ3K5/
2024-01-29 20:26:13 - INFO  - Ingredients section found...
2024-01-29 20:26:17 - INFO  - Ingredients added to excel file...
2024-01-29 20:26:17 - INFO  - 45 https://www.amazon.com/Pronamel-Intensive-Enamel-Toothpaste-Strengthening/dp/B07SG3Y66Y/
2024-01-29 20:26:23 - INFO  - Ingredients section found...
2024-01-29 20:26:27 - INFO  - Ingredients added to excel file...
2024-01-29 20:26:27 - INFO  - 46 https://www.amazon.com/Olaplex-No-7-Bonding-Oil-fl/dp/B07VR1NDSQ/
2024-01-29 20:26:33 - INFO  - 47 https://www.amazon.com/K18-Leave-Repair-Hair-Mask/dp/B09HR5KSR8/
2024-01-29 20:26:39 - INFO  - 48 https://www.amazon.com/Crest-Protection-Toothpaste-children-toddlers/dp/B07ZK1573S/
2024-01-29 20:26:46 - INFO  - Ingredients section found...
2024-01-29 20:26:51 - INFO  - Ingredients added to excel file...
2024-01-29 20:26:51 - INFO  - 49 https://www.amazon.com/Crest-Professional-Whitestrips-Whitening-Treatments/dp/B00AHAWWO0/
2024-01-29 20:26:58 - INFO  - Ingredients section found...
2024-01-29 20:27:02 - INFO  - Ingredients added to excel file...
2024-01-29 20:27:02 - INFO  - 50 https://www.amazon.com/Oral-Essentials-Treatments-Sensitivity-Artificial/dp/B082TPDTM2/
2024-01-29 20:27:08 - INFO  - Ingredients section found...
2024-01-29 20:27:12 - INFO  - Ingredients added to excel file...
2024-01-29 20:27:12 - INFO  - 51 https://www.amazon.com/Olaplex-No-4-Bond-Maintenance-Shampoo/dp/B07D37PQGL/
2024-01-29 20:27:18 - INFO  - 52 https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Waterproof-Eyeliner/dp/B074Y8LM6T/
2024-01-29 20:27:26 - INFO  - Ingredients section found...
2024-01-29 20:27:30 - INFO  - Ingredients added to excel file...
2024-01-29 20:27:30 - INFO  - 53 https://www.amazon.com/AquaSonic-Black-Ultra-Whitening-Toothbrush/dp/B072YVWBXH/
2024-01-29 20:27:38 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:27:38 - INFO  - 54 https://www.amazon.com/l-f-Monochromatic-Multi-Cheeks-Dazzling/dp/B088W7L534/
2024-01-29 20:27:46 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:27:46 - INFO  - 55 https://www.amazon.com/Crest-Pro-Health-Detoxify-Toothpaste-Clean/dp/B0BMGZD5PG/
2024-01-29 20:27:52 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:27:52 - INFO  - 56 https://www.amazon.com/Puffs-Non-Lotion-Facial-Family-Tissues/dp/B09YL8TX5K/
2024-01-29 20:27:59 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:27:59 - INFO  - 57 https://www.amazon.com/REVLON-One-Step-Dryer-Volumizer-Brush/dp/B096SVJZSW/
2024-01-29 20:28:07 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:28:07 - INFO  - 58 https://www.amazon.com/l-f-Cosmetics-retractable-eyeliner-waterproof/dp/B07MWSXPT1/
2024-01-29 20:28:14 - INFO  - Ingredients section found...
2024-01-29 20:28:18 - INFO  - Ingredients added to excel file...
2024-01-29 20:28:18 - INFO  - 59 https://www.amazon.com/Aveeno-Fragrance-Free-Soap-Free-Dye-Free-Sensitive/dp/B075X2KL5C/
2024-01-29 20:28:25 - INFO  - Ingredients section found...
2024-01-29 20:28:29 - INFO  - Ingredients added to excel file...
2024-01-29 20:28:29 - INFO  - 60 https://www.amazon.com/Kitsch-Strengthening-Shampoo-All-Natural-Moisturizing/dp/B09FB1YXF1/
2024-01-29 20:28:37 - INFO  - Ingredients section found...
2024-01-29 20:28:40 - INFO  - Ingredients added to excel file...
2024-01-29 20:28:41 - INFO  - 61 https://www.amazon.com/ChapStick-Balm-0-15-Ounce-Pack/dp/B07GVPQXRF/
2024-01-29 20:28:47 - INFO  - Ingredients section found...
2024-01-29 20:28:51 - INFO  - Ingredients added to excel file...
2024-01-29 20:28:51 - INFO  - 62 https://www.amazon.com/Plackers-Flossers-Fold-Out-Toothpick-Tuffloss/dp/B07ZW46KV4/
2024-01-29 20:28:59 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:28:59 - INFO  - 63 https://www.amazon.com/EltaMD-Sunscreen-Moisturizer-Hyaluronic-Hydrating/dp/B00464EC1E/
2024-01-29 20:29:05 - INFO  - 64 https://www.amazon.com/Lubricating-Clippers-Trimmers-Corrosion-Prevention/dp/B0084AWBRS/
2024-01-29 20:29:11 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:29:11 - INFO  - 65 https://www.amazon.com/BS-MALL-Makeup-blender-Multi-colored-Sponges/dp/B08ZYKFNLK/
2024-01-29 20:29:20 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:29:21 - INFO  - 66 https://www.amazon.com/ACT-Lozenges-Soothing-Moisturize-Discomfort/dp/B011JD6MNU/
2024-01-29 20:29:27 - INFO  - Ingredients section found...
2024-01-29 20:29:32 - INFO  - Ingredients added to excel file...
